2020-05-23,1671,18
2020-08-18,12495,128
2020-08-21,13180,136
2020-09-03,16015,163
2020-09-09,17972,180
2020-09-17,20367,208
2020-09-19,20954,217
2020-09-23,21827,234
2020-09-24,21988,235
2020-10-10,24862,259
