Date, hospital capacity,hospital utilization,DCCC capacity,DCCC utilization,DCHC capacity,DCHC utilization,Total tests, RTPCR tests,Rapid tests,Number of Containment Zones, Number of Ambulance Calls
2020-07-26 ,15475,2856,9444,853,554,144,17533,5032,12501,714,901
2020-07-27 ,15271,2835,9412,761,554,147,11506,3821,7685,716,807
2020-07-28 ,15408,2775,9412,678,554,159,18544,4843,13701,715,1050
2020-07-29 ,16008,3028,10018,647,554,166,17392,5074,12318,704,945
2020-07-31 ,14303,2932,10244,652,554,163,19091,5629,13462,692,930
2020-08-01 ,13578,2979,10244,673,554,166,18154,5140,13014,539,942
2020-08-02 ,13578,2886,10244,685,554,161,12730,4289,8441,496,888
2020-08-03 ,13578,2973,10244,694,554,158,10133,3904,6229,496,907
2020-08-04 ,13578,2954,10146,654,554,154,9295,4108,5187,499,1018
2020-08-05 ,13578,2995,10146,616,554,158,16785,4870,11915,481,1172
2020-08-06 ,13571,3024,10146,622,554,159,20436,5737,14699,466,1072
2020-08-07 ,13571,3069,10146,624,554,157,23385,5612,17773,477,1057
2020-08-08 ,13527,3058,10146,659,554,174,24592,5500,19092,478,980
2020-08-09 ,13527,3084,10146,711,554,172,23787,5702,18085,472,1088
2020-08-10 ,13527,3115,10146,711,554,176,12323,3311,9012,477,908
2020-08-11 ,13722,3212,10146,697,554,179,19440,5356,14084,493,1063
2020-08-12 ,13963,3351,10146,707,554,177,18894,6472,12422,523,989
2020-08-13 ,14016,3322,10143,743,594,192,15356,6478,8878,513,1070
2020-08-14 ,14125,3372,10143,726,594,194,15045,5721,9324,523,1022
2020-08-15 ,14125,3495,10143,724,594,185,18271,5667,12604,538,1233
2020-08-16 ,14117,3483,10143,739,594,187,10709,3024,7685,549,1000
2020-08-17 ,14117,3566,10143,765,594,182,14988,4106,10882,557,1066
2020-08-18 ,14121,3539,10143,637,594,167,20266,5419,14847,557,1109
2020-08-19 ,14122,3595,10143,600,594,167,20815,6317,14498,560,1065
2020-08-20 ,14122,3582,10143,593,594,174,17004,6010,10994,587,1067
2020-08-21 ,14125,3585,10143,598,594,175,17735,6086,11649,589,994
2020-08-22 ,14124,3600,10143,589,594,202,19435,6090,13345,591,1173
2020-08-23 ,14126,3617,10143,612,594,203,18731,6261,12470,627,1091
2020-08-24 ,14127,3590,10143,625,594,207,11910,3826,8084,644,934
2020-08-25 ,14129,3617,10143,661,594,227,19841,5380,14461,654,1136
2020-08-26 ,14130,3682,10143,694,594,243,19816,5912,13904,716,1205
2020-08-27 ,14135,3814,10143,715,594,243,21061,7043,14018,734,1317
2020-08-28 ,14138,3904,10143,728,594,260,22933,6920,16013,763,1227
2020-08-31 ,14145,4146,10143,901,599,345,14389,5675,8714,833,1011
2020-09-01 ,14148,4186,10143,902,601,351,24198,7198,17000,846,1282
2020-09-02 ,14146,4278,10143,941,601,367,28835,7870,20965,894,1282
2020-09-03 ,14140,4477,10143,963,601,380,32834,8322,24512,922,1332
2020-09-04 ,14159,4730,10143,984,601,392,36219,8488,27731,949,1437
2020-09-05 ,14163,4934,8580,1049,601,400,38895,9562,29333,976,1462
2020-09-06 ,14171,5101,8580,1129,601,413,36046,9217,26829,1076,1308
2020-09-07 ,14165,5218,8580,1187,601,448,22954,7804,15150,1114,1163
2020-09-08 ,14202,5414,8580,1172,601,440,45797,9944,35853,1166,1469
2020-09-10 ,14228,5775,8580,1367,601,448,58340,9004,49336,1272,1516
2020-09-11 ,14230,6031,8580,1576,601,463,60580,8305,52275,1329,1498
2020-09-12 ,14390,6294,8580,1614,601,459,60076,9182,50894,1383,1496
2020-09-13 ,14377,6503,8580,1692,601,436,56656,10116,46540,1488,1477
2020-09-14 ,14409,6592,8580,1807,601,445,44884,9859,35025,1517,1279
2020-09-15 ,14482,6658,8137,1859,594,431,62669,10398,52271,1560,1446
2020-09-16,14521,6783,8137,1908,601,426,62593,11275,51318,1637,1453
2020-09-17,14652,6893,8137,1915,601,443,60014,9564,50450,1670,1535
2020-09-18,14974,6956,2014,3788,601,452,61037,11203,49834,1751,1456
2020-09-19,14996,7043,1890,4064,601,412,61973,10681,51292,1820,1442
2020-09-20,15621,7040,1937,4234,601,398,52405,11322,41083,1872,1448
2020-09-21,15681,6990,1805,4468,601,385,33733,8828,24905,1889,1227
2020-09-22,15804,7051,1906,4611,601,386,59013,9459,49554,1937,1500
2020-09-23,15810,6998,1913,4841,601,377,59580,10359,49221,1987,1557
2020-09-24,15810,7026,8137,1926,601,344,59183,9814,49369,2059,1484
2020-09-25,15812,6990,8137,1596,527,358,59134,11797,47337,2124,1471
2020-09-26,15806,6840,8137,1570,527,335,57688,9968,47720,2231,1435
2020-09-28,15833,6659,8137,1464,527,337,36302,7672,28630,2465,1204
2020-09-29,15839,6515,8137,1412,527,321,59102,9576,49526,2505,1492
2020-09-30,15834,6283,8137,1266,527,312,59807,11184,48623,2570,1414
